"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","POP","TOT","MLN_PER","A","1950",28.069734,
"ESP","POP","TOT","MLN_PER","A","1951",28.21962,
"ESP","POP","TOT","MLN_PER","A","1952",28.399033,
"ESP","POP","TOT","MLN_PER","A","1953",28.60036,
"ESP","POP","TOT","MLN_PER","A","1954",28.818012,
"ESP","POP","TOT","MLN_PER","A","1955",29.048392,
"ESP","POP","TOT","MLN_PER","A","1956",29.290079,
"ESP","POP","TOT","MLN_PER","A","1957",29.543626,
"ESP","POP","TOT","MLN_PER","A","1958",29.811311,
"ESP","POP","TOT","MLN_PER","A","1959",30.096577,
"ESP","POP","TOT","MLN_PER","A","1960",30.402413,
"ESP","POP","TOT","MLN_PER","A","1961",30.72965,
"ESP","POP","TOT","MLN_PER","A","1962",31.023366,
"ESP","POP","TOT","MLN_PER","A","1963",31.296651,
"ESP","POP","TOT","MLN_PER","A","1964",31.609195,
"ESP","POP","TOT","MLN_PER","A","1965",31.954292,
"ESP","POP","TOT","MLN_PER","A","1966",32.283194,
"ESP","POP","TOT","MLN_PER","A","1967",32.682947,
"ESP","POP","TOT","MLN_PER","A","1968",33.113135,
"ESP","POP","TOT","MLN_PER","A","1969",33.441054,
"ESP","POP","TOT","MLN_PER","A","1970",33.752818,
"ESP","POP","TOT","MLN_PER","A","1971",34.216274,
"ESP","POP","TOT","MLN_PER","A","1972",34.571714,
"ESP","POP","TOT","MLN_PER","A","1973",34.921497,
"ESP","POP","TOT","MLN_PER","A","1974",35.287558,
"ESP","POP","TOT","MLN_PER","A","1975",35.687714,
"ESP","POP","TOT","MLN_PER","A","1976",36.118035,
"ESP","POP","TOT","MLN_PER","A","1977",36.563834,
"ESP","POP","TOT","MLN_PER","A","1978",36.971471,
"ESP","POP","TOT","MLN_PER","A","1979",37.289006,
"ESP","POP","TOT","MLN_PER","A","1980",37.526911,
"ESP","POP","TOT","MLN_PER","A","1981",37.764458,
"ESP","POP","TOT","MLN_PER","A","1982",37.987108,
"ESP","POP","TOT","MLN_PER","A","1983",38.160263,
"ESP","POP","TOT","MLN_PER","A","1984",38.325244,
"ESP","POP","TOT","MLN_PER","A","1985",38.467025,
"ESP","POP","TOT","MLN_PER","A","1986",38.571941,
"ESP","POP","TOT","MLN_PER","A","1987",38.682322,
"ESP","POP","TOT","MLN_PER","A","1988",38.764307,
"ESP","POP","TOT","MLN_PER","A","1989",38.821377,
"ESP","POP","TOT","MLN_PER","A","1990",38.860827,
"ESP","POP","TOT","MLN_PER","A","1991",38.941622,
"ESP","POP","TOT","MLN_PER","A","1992",39.14794,
"ESP","POP","TOT","MLN_PER","A","1993",39.356082,
"ESP","POP","TOT","MLN_PER","A","1994",39.547353,
"ESP","POP","TOT","MLN_PER","A","1995",39.718895,
"ESP","POP","TOT","MLN_PER","A","1996",39.884246,
"ESP","POP","TOT","MLN_PER","A","1997",40.049974,
"ESP","POP","TOT","MLN_PER","A","1998",40.214066,
"ESP","POP","TOT","MLN_PER","A","1999",40.369667,
"ESP","POP","TOT","MLN_PER","A","2000",40.554387,
"ESP","POP","TOT","MLN_PER","A","2001",40.766049,
"ESP","POP","TOT","MLN_PER","A","2002",41.42352,
"ESP","POP","TOT","MLN_PER","A","2003",42.196231,
"ESP","POP","TOT","MLN_PER","A","2004",42.859172,
"ESP","POP","TOT","MLN_PER","A","2005",43.662613,
"ESP","POP","TOT","MLN_PER","A","2006",44.360521,
"ESP","POP","TOT","MLN_PER","A","2007",45.236004,
"ESP","POP","TOT","MLN_PER","A","2008",45.983169,
"ESP","POP","TOT","MLN_PER","A","2009",46.36755,
"ESP","POP","TOT","MLN_PER","A","2010",46.562483,
"ESP","POP","TOT","MLN_PER","A","2011",46.736257,
"ESP","POP","TOT","MLN_PER","A","2012",46.766403,
"ESP","POP","TOT","MLN_PER","A","2013",46.593236,
"ESP","POP","TOT","MLN_PER","A","2014",46.455123,
"ESP","POP","TOT","MLN_PER","A","2015",46.410149,
"ESP","POP","TOT","MLN_PER","A","2016",46.449874,
"ESP","POP","TOT","MLN_PER","A","2017",46.532869,
"ESP","POP","TOT","MLN_PER","A","2018",46.728814,
"ESP","POP","TOT","MLN_PER","A","2019",47.105358,
"ESP","POP","TOT","MLN_PER","A","2020",47.351567,
